V1	V1	t
9.43	6.38	30
9.46	6.42	60
9.48	6.46	90
9.48	6.5	120
9.47	6.53	150
9.43	6.57	180
9.38	6.59	210
9.26	6.6	240
9.23	6.63	270
9.19	6.63	300
8.73	6.6	330
8.62	6.58	360
8.51	6.53	390
8.46	6.52	420
8.42	6.49	450
8.39	6.46	480
8.39	6.44	510
8.4	6.42	540
8.42	6.41	570
8.45	6.4	600
8.49	6.4	630
8.53	6.4	660
8.56	6.41	690
8.59	6.42	720
8.59	6.44	750
8.58	6.45	780
8.54	6.47	810
8.5	6.48	840
8.44	6.48	870
8.37	6.48	900
8.29	6.47	930
8.21	6.46	960
8.14	6.45	990
8.08	6.43	1020
8.06	6.41	1050
8.05	6.39	1080
8.06	6.37	1110
8.09	6.36	1140
8.13	6.35	1170
8.17	6.35	1200
8.22	6.35	1230
8.27	6.36	1260
8.32	6.38	1290
8.35	6.4	1320
8.36	6.42	1350
8.35	6.44	1380
8.33	6.45	1410
8.29	6.46	1440
8.23	6.47	1470
8.17	6.47	1500
8.1	6.47	1530
8.02	6.46	1560
7.96	6.45	1590
7.91	6.43	1620
7.89	6.41	1650
7.89	6.39	1680
7.91	6.37	1710
7.94	6.36	1740
7.98	6.36	1770
8.04	6.36	1800
8.1	6.37	1830
8.16	6.38	1860
8.21	6.39	1890
8.25	6.42	1920
8.27	6.44	1950
8.26	6.46	1980
8.24	6.48	2010
8.21	6.49	2040
8.15	6.5	2070
8.09	6.51	2100
8.02	6.5	2130
7.96	6.5	2160
7.9	6.48	2190
7.86	6.47	2220
7.85	6.45	2250
7.85	6.43	2280
7.88	6.42	2310
7.92	6.42	2340
7.96	6.41	2370
8.02	6.41	2400
8.1	6.42	2430
8.17	6.44	2460
8.22	6.45	2490
8.26	6.48	2520
8.28	6.5	2550
8.28	6.52	2580
8.26	6.54	2610
8.22	6.56	2640
8.17	6.57	2670
8.11	6.57	2700
8.05	6.57	2730
7.98	6.56	2760
7.92	6.55	2790
7.88	6.53	2820
7.86	6.51	2850
7.87	6.5	2880
7.88	6.48	2910
7.92	6.47	2940
7.96	6.47	2970
8.01	6.47	3000
8.06	6.47	3030
8.12	6.48	3060
8.17	6.5	3090
8.2	6.52	3120
8.22	6.54	3150
8.22	6.55	3180
8.2	6.57	3210
8.17	6.58	3240
8.12	6.59	3270
8.06	6.59	3300
7.97	6.59	3330
7.93	6.58	3360
7.87	6.57	3390
7.85	6.55	3420
7.85	6.53	3450
7.87	6.52	3480
7.92	6.51	3510
7.98	6.5	3540
8.06	6.51	3570
8.14	6.52	3600
8.22	6.53	3630
8.31	6.55	3660
8.39	6.58	3690
8.45	6.61	3720
8.48	6.64	3750
8.49	6.68	3780
8.48	6.7	3810
8.45	6.72	3840
8.4	6.74	3870
8.34	6.75	3900
8.28	6.75	3930
8.22	6.75	3960
8.17	6.74	3990
8.14	6.73	4020
8.14	6.71	4050
8.17	6.7	4080
8.21	6.69	4110
8.27	6.69	4140
8.34	6.79	4170
8.54	6.72	4200
8.62	6.75	4230
8.77	6.81	4260
8.82	6.85	4290
8.84	6.88	4320
8.84	6.91	4350
8.82	6.94	4380
8.78	6.96	4410
8.73	6.98	4440
0	0	4470
0	0	4500
8.53	6.98	4530
8.47	6.97	4560
8.43	6.95	4590
8.43	6.94	4620
8.44	6.92	4650
8.48	6.91	4680
8.53	6.91	4710
8.6	6.91	4740
8.67	6.91	4770
8.75	6.93	4800
8.82	6.95	4830
8.89	6.97	4860
8.93	7	4890
8.96	7.02	4920
8.96	7.05	4950
8.94	7.07	4980
8.9	7.09	5010
8.85	7.1	5040
8.79	7.11	5070
8.72	7.11	5100
8.65	7.1	5130
8.59	7.09	5160
8.57	7.08	5190
8.57	7.06	5220
8.6	7.05	5250
8.65	7.04	5280
8.72	7.03	5310
8.8	7.04	5340
8.88	7.05	5370
8.98	7.06	5400
9.07	7.09	5430
9.15	7.11	5460
9.2	7.15	5490
9.23	7.18	5520
9.24	7.21	5550
9.22	7.24	5580
9.19	7.26	5610
9.13	7.28	5640
9.08	7.29	5670
9	7.29	5700
8.93	7.29	5730
8.88	7.28	5760
8.85	7.26	5790
8.85	7.25	5820
8.88	7.23	5850
8.93	7.23	5880
8.99	7.22	5910
9.06	7.23	5940
9.15	7.24	5970
9.24	7.26	6000
9.32	7.28	6030
9.4	7.3	6060
9.45	7.34	6090
9.48	7.37	6120
9.49	7.4	6150
9.48	7.43	6180
9.44	7.45	6210
9.39	7.47	6240
9.33	7.48	6270
9.25	7.48	6300
9.18	7.48	6330
9.12	7.46	6360
9.08	7.45	6390
9.07	7.43	6420
9.09	7.42	6450
9.13	7.41	6480
9.18	7.4	6510
9.25	7.41	6540
9.32	7.41	6570
9.4	7.42	6600
9.48	7.44	6630
9.54	7.47	6660
9.59	7.49	6690
9.61	7.53	6720
9.61	7.55	6750
9.59	7.57	6780
9.55	7.59	6810
9.49	7.6	6840
9.42	7.61	6870
9.35	7.61	6900
9.27	7.6	6930
9.21	7.59	6960
9.17	7.57	6990
9.17	7.55	7020
9.18	7.53	7050
9.22	7.52	7080
9.29	7.52	7110
9.34	7.52	7140
9.41	7.52	7170
